lambda_1;est_mu_st;delta
0.045;31.9993;3.20951
0.0475;35.945;4.8187
0.05;47.8661;8.76461
0.0525;52.4621;9.33439
0.055;61.9232;10.6995
0.0575;89.6892;19.2126
