lambda_1;est_mu_st;delta
0,04;2357,14;732,285
0,045;2909,2;512,675
0,05;6247,48;2409,67
0,055;7997,12;4592,64
0,06;13466,6;4609,91
0,065;25782,7;11988
0,07;36664,3;16754
0,075;51079,4;7443,59
