lambda_1;est_mu_st;delta
0.04;23.1275;2.45696
0.045;30.1848;3.42013
0.05;49.1073;9.62599
0.055;64.7892;14.6748
0.06;108.62;32.5347
0.065;268.67;119.057
0.07;445.467;137.401
0.075;1221.46;298.901
