  Sredni czas 1 :10.4603
  Sredni czas 2 :10.4701
  Sredni czas 3 :11.4966
   Sredni czas 4:11.5264
   Sredni czas 5:36.5508
   Sredni czas 6:203.046
Kanal 1:0.490353
Kanal 2:0.45419
Kanal 3:0.345369
Kanal 4:0.219559
max czas oczekiwania:2987.85
dzwigi:0.164663
jachty:0.529568
prowadnice:0.503749
rampy:0.300939
tasmociagi:0.555716
Koniec:0.045
  Sredni czas 1 :10.2823
  Sredni czas 2 :11.1069
  Sredni czas 3 :10.2959
   Sredni czas 4:9.8619
   Sredni czas 5:24.5794
   Sredni czas 6:140.673
Kanal 1:0.485458
Kanal 2:0.456833
Kanal 3:0.335444
Kanal 4:0.206369
max czas oczekiwania:2519.54
dzwigi:0.16319
jachty:0.518721
prowadnice:0.497882
rampy:0.316941
tasmociagi:0.555999
Koniec:0.045
  Sredni czas 1 :11.4497
  Sredni czas 2 :12.1898
  Sredni czas 3 :13.4937
   Sredni czas 4:12.4044
   Sredni czas 5:27.278
   Sredni czas 6:267.553
Kanal 1:0.484497
Kanal 2:0.453849
Kanal 3:0.341419
Kanal 4:0.212433
max czas oczekiwania:7618.92
dzwigi:0.169731
jachty:0.530239
prowadnice:0.497957
rampy:0.308056
tasmociagi:0.573543
Koniec:0.045
  Sredni czas 1 :10.4243
  Sredni czas 2 :11.3943
  Sredni czas 3 :12.1259
   Sredni czas 4:11.1883
   Sredni czas 5:28.5413
   Sredni czas 6:137.788
Kanal 1:0.488074
Kanal 2:0.45635
Kanal 3:0.339916
Kanal 4:0.213123
max czas oczekiwania:1959.8
dzwigi:0.166664
jachty:0.52489
prowadnice:0.51141
rampy:0.301071
tasmociagi:0.571053
Koniec:0.045
  Sredni czas 1 :12.0094
  Sredni czas 2 :11.654
  Sredni czas 3 :12.9748
   Sredni czas 4:11.8803
   Sredni czas 5:25.61
   Sredni czas 6:210.238
Kanal 1:0.488596
Kanal 2:0.458989
Kanal 3:0.343802
Kanal 4:0.211304
max czas oczekiwania:2893.66
dzwigi:0.156482
jachty:0.546043
prowadnice:0.495519
rampy:0.3048
tasmociagi:0.606771
Koniec:0.045
  Sredni czas 1 :12.8309
  Sredni czas 2 :12.4342
  Sredni czas 3 :14.5579
   Sredni czas 4:11.138
   Sredni czas 5:23.3631
   Sredni czas 6:199.374
Kanal 1:0.485259
Kanal 2:0.45654
Kanal 3:0.338653
Kanal 4:0.213291
max czas oczekiwania:6334.14
dzwigi:0.161341
jachty:0.525348
prowadnice:0.485032
rampy:0.326121
tasmociagi:0.606996
Koniec:0.045
  Sredni czas 1 :10.8148
  Sredni czas 2 :11.41
  Sredni czas 3 :12.6146
   Sredni czas 4:11.1797
   Sredni czas 5:22.6273
   Sredni czas 6:169.677
Kanal 1:0.482298
Kanal 2:0.45451
Kanal 3:0.337702
Kanal 4:0.204686
max czas oczekiwania:3660.59
dzwigi:0.168325
jachty:0.535393
prowadnice:0.484076
rampy:0.308878
tasmociagi:0.57195
Koniec:0.045
  Sredni czas 1 :11.4233
  Sredni czas 2 :11.146
  Sredni czas 3 :12.3169
   Sredni czas 4:11.7989
   Sredni czas 5:23.3449
   Sredni czas 6:186.178
Kanal 1:0.48488
Kanal 2:0.447744
Kanal 3:0.339602
Kanal 4:0.212497
max czas oczekiwania:2206.88
dzwigi:0.169195
jachty:0.532847
prowadnice:0.48811
rampy:0.314022
tasmociagi:0.568721
Koniec:0.045
  Sredni czas 1 :11.725
  Sredni czas 2 :12.4528
  Sredni czas 3 :13.1517
