  Sredni czas 1 :10.8568
  Sredni czas 2 :10.6663
  Sredni czas 3 :12.1416
   Sredni czas 4:10.0103
   Sredni czas 5:25.115
   Sredni czas 6:162.858
Kanal 1:0.483209
Kanal 2:0.449506
Kanal 3:0.337792
Kanal 4:0.200819
max czas oczekiwania:3139.94
dzwigi:0.164679
jachty:0.523645
prowadnice:0.490818
rampy:0.318421
tasmociagi:0.54695
Koniec:0.045
  Sredni czas 1 :10.1795
  Sredni czas 2 :11.5667
  Sredni czas 3 :11.9709
   Sredni czas 4:10.2396
   Sredni czas 5:25.1242
   Sredni czas 6:162.117
Kanal 1:0.483756
Kanal 2:0.449226
Kanal 3:0.338329
Kanal 4:0.207253
max czas oczekiwania:2617.57
dzwigi:0.154751
jachty:0.550604
prowadnice:0.495922
rampy:0.318301
tasmociagi:0.56723
Koniec:0.045
  Sredni czas 1 :12.6924
  Sredni czas 2 :12.5425
  Sredni czas 3 :13.6132
   Sredni czas 4:13.0113
   Sredni czas 5:25.7892
   Sredni czas 6:223.596
Kanal 1:0.482305
Kanal 2:0.451268
Kanal 3:0.338817
Kanal 4:0.205642
max czas oczekiwania:5628.48
dzwigi:0.154685
jachty:0.531557
prowadnice:0.49003
rampy:0.318761
tasmociagi:0.590117
Koniec:0.045
  Sredni czas 1 :9.95167
  Sredni czas 2 :10.9235
  Sredni czas 3 :11.8057
   Sredni czas 4:11.6984
   Sredni czas 5:22.8718
   Sredni czas 6:169.805
Kanal 1:0.480082
Kanal 2:0.45065
Kanal 3:0.340193
Kanal 4:0.205572
max czas oczekiwania:3033.64
dzwigi:0.159944
jachty:0.53976
prowadnice:0.492041
rampy:0.313277
tasmociagi:0.568232
Koniec:0.045
  Sredni czas 1 :12.3556
  Sredni czas 2 :13.1789
  Sredni czas 3 :13.6647
   Sredni czas 4:11.6874
   Sredni czas 5:24.874
   Sredni czas 6:206.129
Kanal 1:0.483072
Kanal 2:0.454939
Kanal 3:0.33853
Kanal 4:0.211306
max czas oczekiwania:4457.54
dzwigi:0.157701
jachty:0.529609
prowadnice:0.493091
rampy:0.320239
tasmociagi:0.600142
Koniec:0.045
  Sredni czas 1 :10.7975
  Sredni czas 2 :13.0471
  Sredni czas 3 :12.5902
   Sredni czas 4:10.6698
   Sredni czas 5:26.2659
   Sredni czas 6:136.697
Kanal 1:0.481555
Kanal 2:0.454726
Kanal 3:0.338392
Kanal 4:0.207201
max czas oczekiwania:2688.38
dzwigi:0.16291
jachty:0.511089
prowadnice:0.499963
rampy:0.313429
tasmociagi:0.572904
Koniec:0.045
  Sredni czas 1 :12.1193
  Sredni czas 2 :13.1366
  Sredni czas 3 :13.9858
   Sredni czas 4:11.3969
